City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,bilibino,68.0546,166.4372,-37.56,100,100,0.77,RU,1703811341
112,boshkengash,38.4661,68.8053,3.19,75,19,1.0,TJ,1703811342
113,udachny,66.4167,112.4,-39.15,100,58,0.84,RU,1703811342
114,la passe,45.5549,-0.8967,10.01,94,96,3.31,FR,1703811342
115,akbarabad,29.2464,52.7793,11.79,71,45,1.36,IR,1703811343
116,cedeira,43.6797,-8.0209,11.32,81,98,4.55,ES,1703811343
117,winnemucca,40.973,-117.7357,11.03,46,0,4.12,US,1703811188
118,rexburg,43.826,-111.7897,-8.13,86,74,1.48,US,1703811294
119,port douglas,-16.4833,145.4667,29.67,71,0,2.05,AU,1703811343
120,saint-philippe,-21.3585,55.7679,23.77,83,61,4.19,RE,1703811344
121,college,64.8569,-147.8028,-27.03,69,20,0.0,US,1703811344
122,bereznik,62.8551,42.7072,-23.75,100,74,0.98,RU,1703811344
123,selfoss,63.9331,-20.9971,-3.31,96,100,3.18,IS,1703811345
124,wanxian,30.8039,108.3897,12.68,84,100,0.7,CN,1703811345
125,shizunai-furukawacho,42.3339,142.3669,-0.02,67,11,4.54,JP,1703811345
126,anadyr,64.75,177.4833,-28.72,83,40,5.0,RU,1703811345
127,vadso,70.0744,29.7487,-8.32,94,100,2.45,NO,1703811345
128,west island,-12.1568,96.8225,27.99,83,40,6.69,CC,1703811346
129,saguenay,48.4168,-71.0657,-7.94,86,3,2.06,CA,1703811145
130,buta,2.7858,24.73,22.65,68,39,0.63,CD,1703811346
131,sainte-marie,-20.8968,55.5496,26.07,74,0,2.06,RE,1703811346
132,amungan,15.3652,119.9582,28.79,59,0,1.19,PH,1703811346
133,haiku-pauwela,20.9219,-156.3051,24.54,79,77,3.58,US,1703811347
134,teknaf,20.8624,92.3058,18.15,78,0,2.17,BD,1703811347
135,umba,66.6871,34.3429,-11.57,95,98,2.33,RU,1703811347
136,chamba,32.5667,76.1333,10.76,15,0,3.49,IN,1703811347
137,howrah,22.5892,88.3103,17.0,88,0,2.06,IN,1703811347
138,umm kaddadah,13.6017,26.6876,15.07,40,2,6.26,SD,1703811348
139,buchanan,5.8808,-10.0467,26.22,88,38,1.21,LR,1703811348
140,altamira,-3.2033,-52.2064,25.68,80,37,1.35,BR,1703811348
141,khandyga,62.6667,135.6,-51.45,100,87,0.03,RU,1703811348
142,ichinohe,40.2069,141.3017,2.88,84,18,1.21,JP,1703811349
143,nelson bay,-32.7167,152.15,28.03,65,17,3.9,AU,1703811349
144,agat village,13.3886,144.6585,30.06,78,40,7.2,GU,1703811349
145,jaworze,49.7935,18.9479,6.19,81,97,3.64,PL,1703811349
146,nishinoomote,30.7333,131.0,15.31,62,20,3.09,JP,1703811349
147,colonia,50.9333,6.95,11.6,64,100,0.45,DE,1703811219
148,hamilton,39.1834,-84.5333,4.13,71,100,4.12,US,1703811209
149,lorengau,-2.0226,147.2712,29.81,70,99,1.77,PG,1703811350
150,manacapuru,-3.2997,-60.6206,25.92,85,36,1.46,BR,1703811350
151,leava,-14.3,-178.1667,28.53,78,26,5.28,WF,1703811350
152,sinazongwe,-17.2614,27.4618,22.12,81,80,4.38,ZM,1703811351
153,maceio,-9.6658,-35.7353,24.69,94,40,1.54,BR,1703811351
154,airali,44.767,7.3219,9.65,82,89,0.76,IT,1703811351
155,sisophon,13.5859,102.9737,24.12,70,16,4.33,KH,1703811351
156,badger,64.8,-147.5333,-27.07,69,20,0.0,US,1703811352
157,lure,47.75,6.5,8.65,87,100,5.66,FR,1703811352
158,sawakin,19.1059,37.3321,24.33,78,90,6.27,SD,1703811352
159,cabo san lucas,22.8909,-109.9124,23.75,53,9,1.06,MX,1703811065
160,severnoye,56.3491,78.3619,-2.79,96,100,7.15,RU,1703811352
161,atafu village,-8.5421,-172.5159,29.15,73,18,3.96,TK,1703811353
162,pacasmayo,-7.4006,-79.5714,22.63,77,99,3.45,PE,1703811353
163,kingston,17.997,-76.7936,27.53,78,20,3.09,JM,1703811241
164,toyooka,35.5333,134.8333,9.03,61,75,1.03,JP,1703811353
165,nianzishan,47.5167,122.8833,-11.47,87,100,1.19,CN,1703811354
166,cody,44.5263,-109.0565,3.69,81,6,2.04,US,1703811136
167,vila franca do campo,37.7167,-25.4333,11.23,77,0,1.39,PT,1703811354
168,port alfred,-33.5906,26.891,17.88,87,100,2.24,ZA,1703811259
169,harnai,30.1005,67.9374,9.88,29,88,0.69,PK,1703811354
170,fale old settlement,-9.3852,-171.2468,29.18,72,30,3.35,TK,1703811355
171,asikkala,61.2167,25.5,-5.0,98,96,3.2,FI,1703811355
172,al kharj,24.155,47.3346,18.32,51,76,3.47,SA,1703811355
173,mugia,43.1041,-9.2179,11.06,71,68,2.36,ES,1703811355
174,greymouth,-42.4667,171.2,17.34,98,100,5.46,NZ,1703811356
175,amahai,-3.3333,128.9167,29.54,71,60,0.73,ID,1703811356
